projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
commons-io;NameFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/NameFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/NameFileComparator.java;JUnit5;57;2;Magic Number Test;testCaseSensitivity;55;55
commons-io;NameFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/NameFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/NameFileComparator.java;JUnit5;57;2;Verbose Test;testCaseSensitivity;43-56;43-56
commons-io;NameFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/NameFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/NameFileComparator.java;JUnit5;57;2;Lazy Test;testCaseSensitivity; , 47-47 , 48-48 , 49-49 , 52-52 , 53-53 , 54-54 , 55-55; , 47-47 , 48-48 , 49-49 , 52-52 , 53-53 , 54-54 , 55-55
commons-io;NameFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/NameFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/NameFileComparator.java;JUnit5;57;2;Mystery Guest;testCaseSensitivity;45;45
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Resource Optimism;setUp;39-83;39-83
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Magic Number Test;constructorIterable_order;95;95
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Magic Number Test;constructorIterable_order;96;96
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Magic Number Test;constructorIterable_order;97;97
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Magic Number Test;constructorIterable_Null;106;106
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Magic Number Test;constructorIterable_Null;107;107
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Magic Number Test;constructorArray_Null;117;117
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Magic Number Test;constructorArray_Null;118;118
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Sensitive Equality;constructorIterable_Null;108-108;108-108
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Sensitive Equality;constructorIterable_Null;108-108;108-108
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Sensitive Equality;constructorArray_Null;119-119;119-119
