projectName,name,pathFile,productionFile,junitVersion,loc,qtdMethods,testSmellName,testSmellMethod,testSmellLine,testSmellLineBegin,testSmellLineEnd
commons-io,CompositeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\CompositeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\CompositeFileComparator.java,JUnit5,121,4,Eager Test,constructorIterable_order,88,88,98
commons-io,CompositeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\CompositeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\CompositeFileComparator.java,JUnit5,121,4,Eager Test,constructorIterable_Null,103,103,109
commons-io,CompositeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\CompositeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\CompositeFileComparator.java,JUnit5,121,4,Eager Test,constructorArray_Null,114,114,120
commons-io,ExtensionFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\ExtensionFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\ExtensionFileComparator.java,JUnit5,58,2,Resource Optimism,setUp,33,33,41
commons-io,ExtensionFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\ExtensionFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\ExtensionFileComparator.java,JUnit5,58,2,Resource Optimism,testCaseSensitivity,44,44,57
commons-io,ExtensionFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\ExtensionFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\ExtensionFileComparator.java,JUnit5,58,2,Eager Test,testCaseSensitivity,44,44,57
commons-io,ExtensionFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\ExtensionFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\ExtensionFileComparator.java,JUnit5,58,2,Mystery Guest,testCaseSensitivity,44,44,57
commons-io,NameFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\NameFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\NameFileComparator.java,JUnit5,57,2,Resource Optimism,setUp,32,32,40
commons-io,NameFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\NameFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\NameFileComparator.java,JUnit5,57,2,Resource Optimism,testCaseSensitivity,43,43,56
commons-io,NameFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\NameFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\NameFileComparator.java,JUnit5,57,2,Eager Test,testCaseSensitivity,43,43,56
commons-io,NameFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\NameFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\NameFileComparator.java,JUnit5,57,2,Mystery Guest,testCaseSensitivity,43,43,56
commons-io,PathFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\PathFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\PathFileComparator.java,JUnit5,58,2,Resource Optimism,setUp,33,33,41
